,cre_id,sales,date,selling_price,ppc,quotient,flag_min,global,comps1km,comps1km_2km,comps2km_5km,comps5km_10km,comps10km_plus,municipio,entidad,population,Cars,PIB per cápita (MXN),PIB
777,PL/717/EXP/ES/2015,495805,22/08/24,24.40827957,24.4527957,0.997505376,18,5.424,6,9,5,0,0,tijuana,baja california,1922523,1197583,325390,1233847
778,PL/7171/EXP/ES/2015,158254,07/08/24,25.26419355,24.22580645,1.042903226,0,6.150666667,1,10,9,0,0,corregidora,queretaro,212567,95072,309231,776909
779,PL/718/EXP/ES/2015,718948,30/08/24,25.02763441,25.00225806,1.001215054,0,6.567,0,1,13,3,1,tecate,baja california,108440,81468,325390,1233847
780,PL/7195/EXP/ES/2015,200826,31/08/24,25.55752688,25.92333333,0.986129032,93,6.721052632,0,1,2,4,13,angostura,sinaloa,44093,24739,225547,696686
781,PL/720/EXP/ES/2015,283704,10/08/24,25.01225806,25.34634409,0.987021505,7,9.469666667,0,0,5,10,3,rincon de romos,aguascalientes,57369,24634,283363,422764
782,PL/7205/EXP/ES/2015,202166,24/08/24,25.52225806,25.65209677,0.994709677,4,6.742105263,8,4,6,2,0,salvador alvarado,sinaloa,79492,55117,225547,696686
783,PL/7209/EXP/ES/2015,239488,22/08/24,25.81516129,26.04849462,0.991225806,4,7.056315789,0,0,1,0,10,badiraguato,sinaloa,26542,10810,225547,696686
784,PL/722/EXP/ES/2015,389474,31/08/24,24.73623656,24.90763441,0.992623656,28,6.841,7,7,6,0,0,tijuana,baja california,1922523,1197583,325390,1233847
785,PL/7226/EXP/ES/2015,396143,19/08/24,25.21784946,25.07322581,1.005473118,1,3.547368421,1,1,0,0,2,guerrero,chihuahua,35473,18526,312450,1208697
786,PL/729/EXP/ES/2015,1075228,31/08/24,25.08247312,24.84580645,1.009677419,44,7.118333333,6,13,1,0,0,tijuana,baja california,1922523,1197583,325390,1233847
787,PL/732/EXP/ES/2015,335605,04/08/24,24.65935484,24.45612903,1.008129032,0,5.064666667,2,5,13,0,0,tijuana,baja california,1922523,1197583,325390,1233847
788,PL/7364/EXP/ES/2015,303319,11/08/24,24.55919355,25.49822581,0.963209677,62,5.831666667,6,11,3,0,0,guadalupe,nuevo leon,643143,558,416328,2536657
789,PL/7370/EXP/ES/2015,510899,08/08/24,23.83193548,23.7916129,1.001693548,0,6.441333333,3,6,11,0,0,mexicali,baja california,1049792,736892,325390,1233847
790,PL/7375/EXP/ES/2015,90312,23/08/24,21.95721311,20.0447541,1.09552459,1,8.877457627,3,5,12,0,0,rio bravo,tamaulipas,132484,65853,259394,928082
791,PL/7452/EXP/ES/2015,341381,12/08/24,25.85774194,26.19532258,0.987193548,50,6.773,2,8,10,0,0,hermosillo,sonora,936263,639758,372609,1118919
792,PL/7498/EXP/ES/2015,384384,22/08/24,22.59935484,21.23903226,1.063,0,7.393666667,1,7,12,0,0,reynosa,tamaulipas,704767,443857,259394,928082
793,PL/7499/EXP/ES/2015,268055,05/08/24,22.70806452,22.67236559,1.00127957,44,6.722333333,6,12,2,0,0,reynosa,tamaulipas,704767,443857,259394,928082
794,PL/7540/EXP/ES/2015,985859,25/08/24,24.39,25.07150538,0.972806452,0,4.975,5,9,6,0,0,cuauhtemoc,ciudad de mexico,545884,598264,499492,4652611
795,PL/757/EXP/ES/2015,255263,09/08/24,25.21666667,24.93526882,1.011268817,0,6.752333333,5,5,10,0,0,aguascalientes,aguascalientes,948990,546240,283363,422764
796,PL/7575/EXP/ES/2015,175734,31/08/24,24.93209677,24.59532258,1.013709677,0,7.528333333,2,3,15,0,0,poza rica de hidalgo,veracruz,189457,98078,165344,1343593
797,PL/7689/EXP/ES/2015,272760,22/08/24,26.84806452,26.82483871,1.001112903,0,6.670666667,3,3,9,5,0,guaymas,sonora,156863,81098,372609,1118919
798,PL/769/EXP/ES/2015,225338,12/08/24,25.63677419,25.68763441,0.998258065,0,6.802333333,2,6,12,0,0,tepic,nayarit,425924,295563,168146,214501
799,PL/7690/EXP/ES/2015,385175,03/08/24,21.61419355,21.97483871,0.983225806,31,4.981,2,2,16,0,0,nogales,sonora,264782,190834,372609,1118919
800,PL/7694/EXP/ES/2015,460094,26/08/24,26.63397849,25.82924731,1.031698925,0,6.107,2,9,9,0,0,hermosillo,sonora,936263,639758,372609,1118919
801,PL/7786/EXP/ES/2015,55152,31/08/24,25.2762069,25.11517241,1.006396552,14,8.659107143,5,8,7,0,0,guadalupe,zacatecas,211740,96129,179305,294882
802,PL/7787/EXP/ES/2015,172290,12/08/24,24.93209677,24.89564516,1.001274194,0,6.503333333,5,9,6,0,0,poza rica de hidalgo,veracruz,189457,98078,165344,1343593
803,PL/7802/EXP/ES/2015,236864,01/08/24,24.78892473,24.80139785,0.999365591,0,7.844333333,2,4,14,0,0,san juan del rio,queretaro,297804,94744,309231,776909
804,PL/7812/EXP/ES/2015,342362,31/08/24,20.93629032,20.62645161,1.013387097,29,8.367,0,2,18,0,0,reynosa,tamaulipas,704767,443857,259394,928082
805,PL/7815/EXP/ES/2015,190287,18/08/24,21.91064516,22.01290323,0.994596774,0,5.19,0,5,15,0,0,reynosa,tamaulipas,704767,443857,259394,928082
806,PL/7827/EXP/ES/2015,1488555,19/08/24,24.94913978,25.83623656,0.966064516,93,6.507666667,1,0,14,5,0,garcia,nuevo leon,397205,1828,416328,2536657
807,PL/7889/EXP/ES/2015,90086,27/08/24,24.16811111,23.82155556,1.014466667,0,6.34137931,2,15,3,0,0,veracruz,veracruz,607209,281229,165344,1343593
808,PL/7931/EXP/ES/2015,714175,06/08/24,23.66096774,25.75677419,0.919645161,62,5.333,2,13,5,0,0,san nicolas de los garza,nuevo leon,412199,235420,416328,2536657
809,PL/7988/EXP/ES/2015,545563,10/08/24,24.25904762,23.83821429,1.017833333,23,4.085714286,1,7,12,0,0,valle de chalco solidaridad,mexico,391731,173877,162026,2854429
810,PL/8012/EXP/ES/2015,119026,10/08/24,18.70774194,18.76935484,0.996419355,0,5.576,5,14,1,0,0,matamoros,tamaulipas,541979,236207,259394,928082
811,PL/8020/EXP/ES/2015,702559,31/08/24,26.01043011,26.09752688,0.996645161,0,7.282,1,2,17,0,0,mazatlan,sinaloa,501441,278271,225547,696686
